Article_ID,DOI,Authors,Year,Continent,Country,City,Bee genus,Bee species,Bee merged,Bee full,Abundance,Bee_ID_per_study,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,rufocinctus,Bombus rufocinctus,"Bombus rufocinctus Cresson, 1863",30,30,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Anthidium,manicatum,Anthidium manicatum,"Anthidium manicatum Linnaeus, 1758",28,31,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,subillatus,Melissodes subillatus,"Melissodes subillatus LaBerge, 1961",28,32,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,bimaculatus,Bombus bimaculatus,"Bombus bimaculatus Cresson, 1863",27,33,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,coriaceum,Lasioglossum coriaceum,"Lasioglossum coriaceum Smith, 1853",27,34,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,zonulum,Lasioglossum zonulum,"Lasioglossum zonulum Smith, 1848",25,35,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,ephialtum,Lasioglossum ephialtum,"Lasioglossum ephialtum Gibbs, 2010",24,36,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,pilosum,Lasioglossum pilosum,"Lasioglossum pilosum Smith, 1853",24,37,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,wilkella,Andrena wilkella,"Andrena wilkella Kirby, 1802",23,38,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hylaeus,leptocephalus,Hylaeus leptocephalus,"Hylaeus leptocephalus Morawitz, 1871",22,39,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Augochlora,pura,Augochlora pura,"Augochlora pura Say, 1837",21,40,,,,,,,,,,,,,,
