buffer,ID,mean.temp,mean.temp.corr
Bufer_1000.shp,32,104.7509773,0.475097727
Bufer_1000.shp,33,97.34262878,-0.265737122
Bufer_1000.shp,34,105.1444272,0.514442716
Bufer_1000.shp,35,115.2594647,1.525946471
Bufer_1000.shp,36,97.8577061,-0.21422939
Bufer_1000.shp,37,124.9575479,2.495754789
Bufer_1000.shp,38,108.7484869,0.874848693
Bufer_1000.shp,39,109.4172406,0.941724061
Bufer_1000.shp,4,37.07444656,-6.292555344
Bufer_1000.shp,40,110.1474587,1.014745872
Bufer_1000.shp,41,114.389493,1.438949295
Bufer_1000.shp,42,110.7919497,1.079194974
Bufer_1000.shp,43,123.5756302,2.357563019
Bufer_1000.shp,44,110.2037889,1.020378888
Bufer_1000.shp,45,107.7399983,0.773999832
Bufer_1000.shp,46,112.0601616,1.206016161
Bufer_1000.shp,47,61.75677022,-3.824322978
Bufer_1000.shp,48,110.6289309,1.062893086
Bufer_1000.shp,49,124.3077462,2.430774617
Bufer_1000.shp,5,53.02783636,-4.697216364
Bufer_1000.shp,50,67.43903985,-3.256096015
Bufer_1000.shp,51,119.0657358,1.906573575
Bufer_1000.shp,52,124.1741884,2.417418841
Bufer_1000.shp,53,124.2678161,2.426781613
Bufer_1000.shp,54,122.9646109,2.296461085
Bufer_1000.shp,55,125.7376409,2.573764094
Bufer_1000.shp,56,126.464718,2.646471799
Bufer_1000.shp,57,80.68831331,-1.931168669
Bufer_1000.shp,58,109.5279121,0.952791211
Bufer_1000.shp,59,121.9175925,2.191759249
Bufer_1000.shp,6,99.66333365,-0.033666635
Bufer_1000.shp,60,95.97224745,-0.402775255
Bufer_1000.shp,61,122.0272489,2.202724892
Bufer_1000.shp,62,119.823722,1.982372197
Bufer_1000.shp,63,111.111027,1.1111027
Bufer_1000.shp,64,126.9443716,2.694437162
Bufer_1000.shp,65,123.1404377,2.314043774
Bufer_1000.shp,66,115.0049463,1.500494629
Bufer_1000.shp,67,99.95128441,-0.004871559
Bufer_1000.shp,68,108.2812209,0.828122091
Bufer_1000.shp,69,126.7190001,2.671900006
Bufer_1000.shp,7,76.64259386,-2.335740614
Bufer_1000.shp,70,110.3429284,1.034292837
Bufer_1000.shp,71,111.553315,1.155331497
Bufer_1000.shp,72,106.4969619,0.649696186
Bufer_1000.shp,73,127.3881917,2.738819169
Bufer_1000.shp,74,118.8349868,1.883498678
Bufer_1000.shp,75,121.7757242,2.177572417
Bufer_1000.shp,76,89.21828473,-1.078171527
Bufer_1000.shp,77,111.9690329,1.196903293
Bufer_1000.shp,78,129.8788527,2.987885274
Bufer_1000.shp,79,130.420001,3.042000103
Bufer_1000.shp,8,112.4376333,1.243763326
Bufer_1000.shp,80,130.4058025,3.040580247
Bufer_1000.shp,81,129.3170284,2.931702836
Bufer_1000.shp,82,130.0047927,3.00047927
Bufer_1000.shp,83,117.9395437,1.793954375
Bufer_1000.shp,84,118.5596873,1.855968732
Bufer_1000.shp,85,110.9070984,1.090709841
Bufer_1000.shp,86,132.1141601,3.211416009
Bufer_1000.shp,87,132.1579894,3.215798942
Bufer_1000.shp,88,131.4006014,3.140060141
Bufer_1000.shp,89,85.45050214,-1.454949786
Bufer_1000.shp,9,72.91891541,-2.708108459
Bufer_1000.shp,90,110.6676102,1.066761017
Bufer_1000.shp,91,110.5585985,1.055859848
Bufer_1000.shp,92,96.89986928,-0.310013072
Bufer_1000.shp,93,126.9674546,2.696745457
Bufer_1000.shp,94,127.1116976,2.711169763
Bufer_1000.shp,95,126.9951969,2.69951969
Bufer_1000.shp,96,112.7297287,1.272972873
Bufer_1000.shp,97,76.08578692,-2.391421308
Bufer_1000.shp,98,112.7602271,1.276022715
Bufer_1000.shp,99,115.2948362,1.529483622
Buffer_250.shp,1,88.70640394,-1.129359606
Buffer_250.shp,10,123.2966358,2.329663575
Buffer_250.shp,100,125.4447339,2.544473391
Buffer_250.shp,101,120.4634416,2.046344156
Buffer_250.shp,102,121.4343127,2.143431269
Buffer_250.shp,103,132.1040459,3.210404593
Buffer_250.shp,104,132.1040459,3.210404593
Buffer_250.shp,105,123.5759163,2.357591631
Buffer_250.shp,106,113.5461569,1.354615688
Buffer_250.shp,107,129.9299078,2.992990779
Buffer_250.shp,108,132.3083502,3.23083502
Buffer_250.shp,109,138.1941719,3.819417187
Buffer_250.shp,11,109.0151385,0.901513845
Buffer_250.shp,110,112.4468394,1.244683944
Buffer_250.shp,111,123.9421446,2.394214464
Buffer_250.shp,112,111.3420138,1.134201383
Buffer_250.shp,113,124.9872636,2.498726359
Buffer_250.shp,114,119.4198633,1.941986335
Buffer_250.shp,115,120.9964781,2.099647812
Buffer_250.shp,116,139.3568157,3.935681574
Buffer_250.shp,117,145.1941353,4.519413526
Buffer_250.shp,118,120.5581772,2.055817716
Buffer_250.shp,119,116.1340748,1.613407484
Buffer_250.shp,12,113.4306777,1.343067766
Buffer_250.shp,120,132.2447568,3.224475682
Buffer_250.shp,121,128.7181032,2.871810324
Buffer_250.shp,122,136.7598345,3.675983446
Buffer_250.shp,123,96.30570198,-0.369429802
Buffer_250.shp,124,69.98181695,-3.001818305
Buffer_250.shp,125,114.348995,1.434899498
Buffer_250.shp,126,116.3729933,1.637299328
Buffer_250.shp,127,118.6785065,1.867850652
Buffer_250.shp,128,116.7918786,1.67918786
Buffer_250.shp,129,111.2266376,1.122663755
Buffer_250.shp,13,113.2323675,1.323236752
Buffer_250.shp,130,131.4762404,3.14762404
Buffer_250.shp,131,110.0882773,1.008827732
Buffer_250.shp,132,125.6257617,2.562576168
Buffer_250.shp,133,133.6326102,3.363261018
Buffer_250.shp,134,108.8766944,0.887669436
Buffer_250.shp,135,109.7344216,0.973442164
Buffer_250.shp,136,128.1903132,2.819031324
Buffer_250.shp,137,113.5710468,1.357104681
Buffer_250.shp,138,105.0246402,0.502464025
Buffer_250.shp,139,108.0516151,0.805161511
Buffer_250.shp,14,112.8444328,1.284443276
Buffer_250.shp,140,120.1819361,2.018193606
Buffer_250.shp,141,129.4247791,2.942477906
Buffer_250.shp,142,125.6801862,2.568018622
Buffer_250.shp,143,116.1628782,1.61628782
Buffer_250.shp,144,64.37569538,-3.562430462
Buffer_250.shp,145,109.8716733,0.987167328
Buffer_250.shp,146,118.3002507,1.830025073
Buffer_250.shp,147,121.3327138,2.133271376
Buffer_250.shp,148,107.1749759,0.717497585
Buffer_250.shp,149,121.9056774,2.190567739
