buffer,ID,mean.NDVI
Buffer_250.shp,28,0.037291824
Buffer_250.shp,29,0.194501612
Buffer_250.shp,3,0.210706004
Buffer_250.shp,30,-0.011156623
Buffer_250.shp,31,0.442700269
Buffer_250.shp,32,0.494386041
Buffer_250.shp,33,0.575624575
Buffer_250.shp,34,0.435202614
Buffer_250.shp,35,0.188055689
Buffer_250.shp,36,0.533430868
Buffer_250.shp,37,0.266547587
Buffer_250.shp,38,0.561608888
Buffer_250.shp,39,0.397665135
Buffer_250.shp,4,0.322853182
Buffer_250.shp,40,0.258860002
Buffer_250.shp,41,0.241288891
Buffer_250.shp,42,0.282595819
Buffer_250.shp,43,-0.082995771
Buffer_250.shp,44,0.225177568
Buffer_250.shp,45,0.343545191
Buffer_250.shp,46,0.303531417
Buffer_250.shp,47,0.587842451
Buffer_250.shp,48,0.274444748
Buffer_250.shp,49,0.3246833
Buffer_250.shp,5,0.098426979
Buffer_250.shp,50,0.651650007
Buffer_250.shp,51,0.162386282
Buffer_250.shp,52,-0.082575843
Buffer_250.shp,53,-0.079679363
Buffer_250.shp,54,-0.018376842
Buffer_250.shp,55,0.173626785
Buffer_250.shp,56,-0.051952406
Buffer_250.shp,57,0.620699205
Buffer_250.shp,58,0.32059607
Buffer_250.shp,59,0.16163843
Buffer_250.shp,6,0.305745026
Buffer_250.shp,60,0.34525133
Buffer_250.shp,61,0.11250934
Buffer_250.shp,62,0.180686038
Buffer_250.shp,63,0.211555916
Buffer_250.shp,64,0.193944711
Buffer_250.shp,65,0.10167533
Buffer_250.shp,66,0.354270079
Buffer_250.shp,67,0.315794676
Buffer_250.shp,68,0.49171649
Buffer_250.shp,69,-0.163222423
Buffer_250.shp,7,0.527777235
Buffer_250.shp,70,0.404871773
Buffer_250.shp,71,0.395986477
Buffer_250.shp,72,0.363093915
Buffer_250.shp,73,-0.170652581
Buffer_250.shp,74,0.374278559
Buffer_250.shp,75,0.091968809
Buffer_250.shp,76,0.311970375
Buffer_250.shp,77,0.379054016
Buffer_250.shp,78,-0.123655889
Buffer_250.shp,79,-0.002290946
Buffer_250.shp,8,0.544840036
Buffer_250.shp,80,-0.062558301
Buffer_250.shp,81,-0.085105477
Buffer_250.shp,82,-0.108341075
Buffer_250.shp,83,0.374896034
Buffer_250.shp,84,0.263247751
Buffer_250.shp,85,0.416111483
Buffer_250.shp,86,-0.078908241
Buffer_250.shp,87,-0.044102609
Buffer_250.shp,88,0.010938736
Buffer_250.shp,89,0.363123902
Buffer_250.shp,9,0.268377667
Buffer_250.shp,90,0.480541355
Buffer_250.shp,91,0.37800981
Buffer_250.shp,92,0.524713596
Buffer_250.shp,93,0.241846259
Buffer_250.shp,94,0.232147967
Buffer_250.shp,95,0.223736137
Buffer_250.shp,96,0.364154762
Buffer_250.shp,97,0.459249687
Buffer_250.shp,98,0.370534194
Buffer_250.shp,99,0.317328174
Buffer_500.shp,1,0.26013676
Buffer_500.shp,10,0.140104184
Buffer_500.shp,100,0.133777362
Buffer_500.shp,101,0.190929154
Buffer_500.shp,102,0.241223368
Buffer_500.shp,103,0.012191306
Buffer_500.shp,104,0.012191306
Buffer_500.shp,105,0.09358472
Buffer_500.shp,106,0.256348716
Buffer_500.shp,107,-0.12940113
Buffer_500.shp,108,-0.121232704
Buffer_500.shp,109,-0.081961761
Buffer_500.shp,11,0.527509784
Buffer_500.shp,110,0.315124801
Buffer_500.shp,111,0.050033604
Buffer_500.shp,112,0.215694758
Buffer_500.shp,113,0.024113702
Buffer_500.shp,114,0.059027568
Buffer_500.shp,115,0.046072097
Buffer_500.shp,116,-0.131585525
Buffer_500.shp,117,-0.128151004
Buffer_500.shp,118,-0.062389295
Buffer_500.shp,119,0.257944532
Buffer_500.shp,12,0.441443687
Buffer_500.shp,120,-0.215091574
Buffer_500.shp,121,-0.003812036
Buffer_500.shp,122,-0.109369331
Buffer_500.shp,123,0.001920223
Buffer_500.shp,124,0.006368389
Buffer_500.shp,125,0.198689065
Buffer_500.shp,126,0.186711676
Buffer_500.shp,127,0.143748647
Buffer_500.shp,128,0.243086108
Buffer_500.shp,129,0.308428758
Buffer_500.shp,13,0.433822049
Buffer_500.shp,130,-0.021748307
Buffer_500.shp,131,0.335385949
Buffer_500.shp,132,0.070508217
Buffer_500.shp,133,-0.081934244
Buffer_500.shp,134,0.395880768
Buffer_500.shp,135,0.400958335
Buffer_500.shp,136,0.01232905
Buffer_500.shp,137,0.342583504
Buffer_500.shp,138,0.490720356
Buffer_500.shp,139,0.376329321
Buffer_500.shp,14,0.435386142
Buffer_500.shp,140,0.132229158
Buffer_500.shp,141,0.143612834
Buffer_500.shp,142,0.15258721
Buffer_500.shp,143,0.243188725
Buffer_500.shp,144,0.003475532
Buffer_500.shp,145,0.300818741
Buffer_500.shp,146,0.075913549
Buffer_500.shp,147,0.225653139
Buffer_500.shp,148,0.311258831
Buffer_500.shp,149,0.263685544
Buffer_500.shp,15,0.579436134
Buffer_500.shp,150,0.310049322
Buffer_500.shp,151,0.423124346
Buffer_500.shp,152,0.47567753
Buffer_500.shp,153,0.371351426
Buffer_500.shp,154,0.402957927
Buffer_500.shp,155,0.317667595
Buffer_500.shp,156,0.242446303
Buffer_500.shp,157,0.373692964
Buffer_500.shp,158,0.314813507
Buffer_500.shp,159,0.38721022
Buffer_500.shp,16,0.345964369
Buffer_500.shp,160,0.467815782
Buffer_500.shp,161,0.411746317
Buffer_500.shp,162,0.376692559
Buffer_500.shp,163,0.423572655
Buffer_500.shp,164,0.483228046
Buffer_500.shp,165,0.34615825
Buffer_500.shp,166,0.508753622
Buffer_500.shp,167,0.350040091
Buffer_500.shp,168,0.625005246
Buffer_500.shp,169,0.402871838
Buffer_500.shp,17,0.305648632
Buffer_500.shp,170,0.249718647
Buffer_500.shp,171,0.314406386
Buffer_500.shp,172,0.391640484
Buffer_500.shp,173,0.390013207
Buffer_500.shp,174,0.366149286
Buffer_500.shp,175,0.12063097
Buffer_500.shp,176,0.365142733
Buffer_500.shp,177,0.182272384
Buffer_500.shp,178,0.091495371
Buffer_500.shp,179,0.153086398
Buffer_500.shp,18,0.345299252
Buffer_500.shp,180,0.339709661
Buffer_500.shp,181,0.465765389
Buffer_500.shp,182,0
Buffer_500.shp,183,0
Buffer_500.shp,184,0.517788305
Buffer_500.shp,19,0.193559455
Buffer_500.shp,2,0.542234256
Buffer_500.shp,20,0.434359047
Buffer_500.shp,21,0.4113969
Buffer_500.shp,22,0.185579929
Buffer_500.shp,23,0.444394454
Buffer_500.shp,24,-0.028012118
Buffer_500.shp,25,0.354846175
Buffer_500.shp,26,0.405222186
Buffer_500.shp,27,0.062836203
Buffer_500.shp,28,0.021810929
Buffer_500.shp,29,0.247408654
Buffer_500.shp,3,0.12312776
Buffer_500.shp,30,0.057035967
Buffer_500.shp,31,0.429647398
Buffer_500.shp,32,0.482513864
Buffer_500.shp,33,0.56128713
Buffer_500.shp,34,0.453133282
Buffer_500.shp,35,0.214925108
Buffer_500.shp,36,0.534289925
Buffer_500.shp,37,0.17971176
Buffer_500.shp,38,0.469085512
Buffer_500.shp,39,0.371314346
Buffer_500.shp,4,0.219510554
Buffer_500.shp,40,0.245054986
Buffer_500.shp,41,0.221860368
Buffer_500.shp,42,0.323679284
Buffer_500.shp,43,-0.062618972
Buffer_500.shp,44,0.267382564
Buffer_500.shp,45,0.366147764
Buffer_500.shp,46,0.23703214
Buffer_500.shp,47,0.507939345
Buffer_500.shp,48,0.302917651
Buffer_500.shp,49,0.258239926
Buffer_500.shp,5,0.069298672
Buffer_500.shp,50,0.541881248
Buffer_500.shp,51,0.138703728
Buffer_500.shp,52,-0.105857284
Buffer_500.shp,53,-0.103716144
Buffer_500.shp,54,-0.040941385
Buffer_500.shp,55,0.216173961
Buffer_500.shp,56,-0.046377154
Buffer_500.shp,57,0.578493538
Buffer_500.shp,58,0.294808533
Buffer_500.shp,59,0.170640183
Buffer_500.shp,6,0.352127706
Buffer_500.shp,60,0.271366918
Buffer_500.shp,61,0.162305134
Buffer_500.shp,62,0.171441498
Buffer_500.shp,63,0.293866075
Buffer_500.shp,64,0.124325231
Buffer_500.shp,65,0.150477624
Buffer_500.shp,66,0.392004206
Buffer_500.shp,67,0.331578895
Buffer_500.shp,68,0.445963302
Buffer_500.shp,69,-0.160885593
Buffer_500.shp,7,0.520515073
Buffer_500.shp,70,0.403164944
Buffer_500.shp,71,0.389011529
Buffer_500.shp,72,0.367133681
Buffer_500.shp,73,-0.172315849
Buffer_500.shp,74,0.323366105
Buffer_500.shp,75,0.065129662
Buffer_500.shp,76,0.24420065
Buffer_500.shp,77,0.365815227
Buffer_500.shp,78,-0.053533133
Buffer_500.shp,79,-0.022735094
Buffer_500.shp,8,0.519537981
Buffer_500.shp,80,-0.051163612
Buffer_500.shp,81,-0.111661074
Buffer_500.shp,82,-0.025483126
Buffer_500.shp,83,0.278446956
Buffer_500.shp,84,0.289331849
Buffer_500.shp,85,0.410691437
Buffer_500.shp,86,-0.076261503
Buffer_500.shp,87,-0.061442804
Buffer_500.shp,88,-0.005877023
Buffer_500.shp,89,0.315540841
Buffer_500.shp,9,0.255846705
Buffer_500.shp,90,0.47016598
Buffer_500.shp,91,0.38210713
Buffer_500.shp,92,0.480110283
Buffer_500.shp,93,0.10833103
Buffer_500.shp,94,0.115471766
Buffer_500.shp,95,0.117029075
Buffer_500.shp,96,0.340393145
Buffer_500.shp,97,0.376465646
Buffer_500.shp,98,0.33802138
Buffer_500.shp,99,0.286561113
